ogd_crop_name,count,model_head_class,crop_type_enum
Betel Nuts (Areca nuts),82755,,arecanut
NA Land ,48836,,
Coconut,47755,coconut,coconut
Fallow,35644,,
Pepper (Black),12812,pepper,
Rubber,10311,,
Banana ,7179,,
Paddy-H,5065,,paddy
Cocoa,3955,,
Paddy-L,3259,,paddy
Cashewnuts,1940,,
Harvest over Crop-Paddy-L,244,,
Jackfruit,219,,
Harvest over Crop-Betel Nuts (Areca nuts),211,,
Teak/Saguvani,182,,
Mangoes,179,,
Coffee robusta,124,coffee,
Trees and Grooves,120,,
Harvest over Crop-Coconut,107,,
Pineapple,83,,
Nutmeg,74,,
Rambutan Fruit,65,,
Grass,48,,
Harvest over Crop-Paddy-H,47,,
Harvest over Crop-Rubber,43,,
Beetlvine (Pan),41,,
Mahagani Tree,40,,
Jasmine (Mogra/Bela),31,,
Coffee arabica,29,coffee,
Cardamom,29,cardamom,
Agarwood,28,,
Harvest over Crop-Banana ,26,,
Papaya,25,,
Mangosteen Fruit,21,,
Acacia,18,,
Bamboos,14,,
Kokum,13,,
Breadfruits,13,,
Chiku (Sapota),13,,
Oil Palm,11,,
Tapioca ,10,,
Venilla,9,,
Palmyra Palm,9,,
Red Sanders (Red Sandalwood),9,,
Turmeric,9,,
Curry leaves,9,,
Cloves ,9,,
Harvest over Crop-Cashewnuts,8,,
Lemon  ,8,,
Ginger,8,,
Cowpea,7,,
Malabar Neem (Melia Dubia),6,,
Harvest over Crop-Nursery Fruits/ other Horticulture crops,6,,
Nursery Fruits/ other Horticulture crops,6,,
Vegetable Cowpea,6,,
Drumstick ,6,,
Nacotin Rusetic,6,,
Green Fodder,5,,
Sandalwood,5,,
Silver Oak,5,,
Almond,5,,
Harvest over Crop-Grass,5,,
Harvest over Crop-Jowar-H,5,,
Sweet Flag,4,,
Harvest over Crop-Pepper (Black),4,,
Custard apple/Ramphal,4,,
Aonla (Amla),4,,
Harvest over Crop-Red Chillies (Mirchie),4,,
Eucalyptus,4,,
Guava,4,,
Jowar-H,4,,maize
Harvest over Crop-Urad,3,,
Tea,3,,
Ivygourd,3,,
Dragon Fruit,3,,
Passion Fruit,3,,
Harvest over Crop-Arrowroot,3,,
Arrowroot,3,,
Anthurium,3,,
Harvest over Crop-Almond,3,,
Green Chillies ,3,,
Harvest over Crop-Baragu,3,,
Safflower,3,,
Sugarcane-P,3,,
Urad,3,blackgram,
Oranges ,3,,
Pomelo/Chakota,2,,
Masur (Lentil),2,,
Basella,2,,
Ridgegourd,2,,
Neem,2,,
Bhendi/ Ladies Finger,2,,
Carambola Fruit,2,,
Fig,2,,
Nursery-Ornamentals / Flowers,2,,
Bittergourd ,2,,
Yam,2,,
Ragi -H,2,,ragi
Cucumber,2,,
Coriander Pathi,2,,
Allspice,2,,
Harvest over Crop-Wheat-L,2,,
Jowar-L,1,,maize
Harvest over Crop-Subabul,1,,
Red Chillies (Mirchie),1,,
Harvest over Crop-Sweet Flag,1,,
Harvest over Crop-Ragi-L,1,,
Harvest over Crop-Pineapple,1,,
Harvest over Crop-Ivygourd,1,,
Jamun,1,,
Pear,1,,
Noni,1,,
Casuarina Tree,1,,
Brinjal,1,,
Ashoka,1,,
Ragi-L,1,,ragi
Tomato,1,,
Capsicum,1,,
Champaca,1,,
Orchids,1,,
Harvest over Crop-Ragi -H,1,,
Harvest over Crop-Sugar cane ratun-P,1,,
Potato,1,,
Mint,1,,
Moong (Green gram),1,,
Garlic ,1,,
Subabul,1,,
Harvest over Crop-Safflower,1,,
Harvest over Crop-Green Chillies ,1,,
