source_crop,crop_type,crop_status,hobli,taluk,village,lat,lon,year,season,survey_date,distance_km,spatial_status,temporal_status,tabular_matched,tabular_level,satellite_status,ndvi_available,evi_available,is_duplicate,valid_cropfusion_sample,rejection_reasons
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9892967,75.1114626,2020,Kharif,2020-09-04,0.1648,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9647662,75.1214065,2020,Kharif,2020-10-09,0.0939,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9720379,75.1198225,2020,Kharif,2020-09-03,0.082,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9849992,75.1127707,2020,Kharif,2020-10-11,0.0892,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AJJIBETTU,12.9690684,75.1116328,2020,Kharif,2020-10-11,0.2104,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.9106058,75.0263147,2020,Kharif,2020-09-24,0.2354,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.900746,75.0195534,2020,Kharif,2020-10-07,0.151,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9648397,75.0993264,2020,Kharif,2020-09-05,0.0893,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.8972421,75.0155495,2020,Kharif,2020-08-15,0.1348,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.904036,75.0397079,2020,Kharif,2020-10-14,0.2188,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
