source_crop,crop_type,crop_status,hobli,taluk,village,lat,lon,year,season,survey_date,distance_km,spatial_status,temporal_status,tabular_matched,tabular_level,satellite_status,ndvi_available,evi_available,is_duplicate,valid_cropfusion_sample,rejection_reasons,annual_rainfall_mm,dewpoint_c,elevation,evi,is_cropland,kharif_evi,kharif_ndvi,kharif_ndwi,land_cover_class,ndre,ndvi,ndwi,rabi_evi,rabi_ndvi,rabi_ndwi,relative_humidity_pct,s2_obs_count,savi,slope,soil_clay_pct,soil_moisture,soil_organic_carbon,soil_ph,soil_sand_pct,soil_type_class,temperature_c,env_match_distance_m,env_match_year,env_dk_index,env_match_method,env_match_confidence,env_season_for_features,env_support,_match_key
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9892967,75.1114626,2020,Kharif,2020-09-04,0.1648,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[],4388.926767269149,22.366673753526126,72.35931733765804,1.57875946833157,0,26.630709440086274,0.35954100492102053,-0.2905818799535038,10,0.3390459808571868,0.4941093655248698,-0.47371672378163815,1.6622011500197034,0.49702202815809216,-0.45963526076222083,77.77907845659081,26.0,0.741025762825844,3.7236482271892846,328.1181467256958,0.3035051,394.35622594808535,56.67331147966851,421.19552509958527,262,26.564462279037798,164.8,2020,4831_0,knn_idw,HIGH,Kharif,1.0,12.9892967|75.1114626|2020|Kharif|coconut
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9647662,75.1214065,2020,Kharif,2020-10-09,0.0939,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[],4388.92676726915,22.366673753526126,92.25792166181319,2.685418445797846,0,9.052963699233638,0.6443049696923124,-0.5262486707408198,10,0.5621875266941938,0.7866695739992148,-0.6953821848553898,2.919873252008684,0.8205295344898476,-0.7086346144104843,77.77907845659081,27.000000000000004,1.1798431399018883,9.281032909633803,329.9983338950004,0.30350509999999997,441.80940930603884,57.22682709525277,426.7240598259467,262,26.5644622790378,93.86,2020,45054_0,knn_idw,HIGH,Kharif,1.0,12.9647662|75.1214065|2020|Kharif|coconut
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9720379,75.1198225,2020,Kharif,2020-09-03,0.082,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[],4388.926767269149,22.36667375352613,105.23384869945218,1.2493903033543243,0,2.488113179549494,0.6619184064261296,-0.5824889986827453,30,0.32601896765174887,0.48245168904341773,-0.5182379457750685,1.7122544538571722,0.5732747026708648,-0.5719176448342447,77.7790784565908,26.999999999999993,0.723569734427665,3.2614007207579996,325.6346048487152,0.3035051,425.0729270073242,57.79358002020631,430.5299427349853,262,26.564462279037798,81.97,2020,17745_0,knn_idw,HIGH,Kharif,1.0,12.9720379|75.1198225|2020|Kharif|coconut
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9849992,75.1127707,2020,Kharif,2020-10-11,0.0892,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[],4388.926767269149,22.36667375352613,78.78484345878594,2.1340830201504755,0,10.21705995712654,0.5544370926884865,-0.430005910934083,10,0.4445087878622642,0.67737312984155,-0.608249819179501,2.350333748721689,0.7132008098790886,-0.6398771170273723,77.77907845659081,25.999999999999996,1.0159033126401742,2.9271357614257445,322.52022016438315,0.30350509999999997,393.0247724610417,56.12536040469745,416.83721167983435,262,26.5644622790378,89.18,2020,54593_0,knn_idw,HIGH,Kharif,1.0,12.9849992|75.1127707|2020|Kharif|coconut
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AJJIBETTU,12.9690684,75.1116328,2020,Kharif,2020-10-11,0.2104,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[],4388.9267672691485,22.366673753526126,92.50063355402649,1.778036012421376,0,2.0092596144507886,0.5899150045991123,-0.5538405297754094,10,0.3700818947986234,0.5646154017058183,-0.5480311444850285,1.851085151827438,0.572248089570462,-0.5663774475120119,77.77907845659081,26.999999999999996,0.8467930144303778,3.7969872003002707,331.20301726707555,0.3035050999999999,400.8536788532157,57.36703518250446,424.9166790161561,262,26.564462279037794,210.39,2020,56193_0,knn_idw,HIGH,Kharif,1.0,12.9690684|75.1116328|2020|Kharif|pepper
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.9106058,75.0263147,2020,Kharif,2020-09-24,0.2354,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[],4589.670391838998,22.787618469167512,56.540882654520146,2.146099620469181,0,3.166379805844962,0.6310443726690012,-0.529249867921698,10,0.469518431758597,0.7022829912492686,-0.6435928979565763,2.6327447124438152,0.7667269018156085,-0.6816992271118134,78.6451869737639,53.99999999999999,1.0532695592781656,5.931491330964005,359.40763799218587,0.29916509999999996,444.74302600924756,55.99999999999999,489.40829697222097,389,26.810454406873077,235.41,2020,22396_0,knn_idw,HIGH,Kharif,1.0,12.9106058|75.0263147|2020|Kharif|coconut
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.900746,75.0195534,2020,Kharif,2020-10-07,0.151,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[],4610.713991939911,22.78761846916751,31.342659170269375,1.8843818884160393,0,3.4405673874225173,0.6508362475475528,-0.5550896058639241,10,0.40152653965433327,0.6078924993720861,-0.5714506437735306,2.26310032370853,0.6871271975291919,-0.6345386120579731,78.64518697376388,53.99999999999999,0.9116952962893867,8.100908142941385,363.1355265927853,0.2991651,430.8475176696945,57.6692762931404,476.66027891434754,389,26.81045440687308,150.96,2020,57713_0,knn_idw,HIGH,Kharif,1.0,12.900746|75.0195534|2020|Kharif|coconut
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9648397,75.0993264,2020,Kharif,2020-09-05,0.0893,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[],4496.44196403153,22.36667375352613,85.76911988039005,2.348117868254269,0,2.814320006040342,0.6551496434828104,-0.5454207918075391,10,0.46029785135913215,0.687434656108905,-0.626190743270958,2.444581651188196,0.7110349670258873,-0.6484844193446988,77.77907845659081,26.999999999999996,1.0310018294177437,2.4019802824324192,316.07740794818795,0.3035051,365.3323559673269,56.956664985805205,429.91742791746674,392,26.5644622790378,89.3,2020,56480_0,knn_idw,HIGH,Kharif,1.0,12.9648397|75.0993264|2020|Kharif|coconut
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.8972421,75.0155495,2020,Kharif,2020-08-15,0.1348,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[],4627.021753570064,22.787618469167512,72.36612213289169,2.150420666422179,0,14.308661906252809,0.5188727616227522,-0.40785010740164385,10,0.42007717087718355,0.6520081803639947,-0.5967244148232468,2.513761867794223,0.7013101755024447,-0.6242067004370832,78.64518697376388,54.0,0.9778388070723564,8.967651636395244,361.44779741853864,0.29916509999999996,471.0208735577838,56.70217260993358,482.68044651059773,262,26.810454406873077,134.85,2020,1080_0,knn_idw,HIGH,Kharif,1.0,12.8972421|75.0155495|2020|Kharif|coconut
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.904036,75.0397079,2020,Kharif,2020-10-14,0.2188,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[],4589.670391838998,22.787618469167512,28.11020837993852,0.6246705503705572,0,1.4907361534827734,0.4279000768999037,-0.45761986732401333,10,0.2632249747433899,0.30162974374509516,-0.4238407095681173,0.8301296248738755,0.3713897285059558,-0.46632773966594177,78.6451869737639,54.0,0.45238037903014,6.254160430518237,362.51253157017436,0.30515984,417.6197929454824,57.05475483615383,481.30446890581777,389,26.810454406873077,218.76,2020,47484_0,knn_idw,HIGH,Kharif,1.0,12.904036|75.0397079|2020|Kharif|coconut
