Survey_id,District_code,District_Name,Taluk_code,Taluk_Name,Hobli_code,Hobli_Name,Village_code,Village_Name,Year_code,Years,Season_code,Season,Cropname,Crop_Extent,CropSurveyDate,Month,Weekname,Latitude,Longtitude,Image_url
445270844,24,Dakshina Kannada,1,Mangalore,4,MULKI,16,19-ATIKARIBETTA,119,2021-2022,1,Kharif,Fallow,0-67-50.00,2021-09-18,,,13.1019264,74.8122062,
445288225,24,Dakshina Kannada,1,Mangalore,4,MULKI,5,5-PADUPANAMBURU,119,2021-2022,1,Kharif,Coconut,0-97-0.00,2021-09-17,,,13.0554156,74.7953895,
445288225,24,Dakshina Kannada,1,Mangalore,4,MULKI,5,5-PADUPANAMBURU,119,2021-2022,1,Kharif,Coconut,0-97-0.00,2021-09-17,,,13.055417,74.7953945,
445288258,24,Dakshina Kannada,1,Mangalore,4,MULKI,5,5-PADUPANAMBURU,119,2021-2022,1,Kharif,Coconut,0-19-75.00,2021-09-17,,,13.0553923,74.795416,
445288258,24,Dakshina Kannada,1,Mangalore,4,MULKI,5,5-PADUPANAMBURU,119,2021-2022,1,Kharif,Coconut,0-19-75.00,2021-09-17,,,13.0553947,74.7954154,
445288276,24,Dakshina Kannada,1,Mangalore,4,MULKI,5,5-PADUPANAMBURU,119,2021-2022,1,Kharif,Fallow,0-55-0.00,2021-09-17,,,13.0554023,74.7954329,
445317682,24,Dakshina Kannada,1,Mangalore,4,MULKI,25,30-ELINJE,119,2021-2022,1,Kharif,Fallow,0-45-0.00,2021-09-16,,,13.0908913,74.8650464,
445321916,24,Dakshina Kannada,1,Mangalore,4,MULKI,17,20-SHIMANTURU,119,2021-2022,1,Kharif,Fallow,2-47-0.00,2021-09-18,,,13.0825024,74.8185781,
445330416,24,Dakshina Kannada,1,Mangalore,4,MULKI,27,32-MENNABETTU,119,2021-2022,1,Kharif,NA Land ,0-72-0.00,2021-09-04,,,13.0600215,74.8490095,
445330450,24,Dakshina Kannada,1,Mangalore,4,MULKI,27,32-MENNABETTU,119,2021-2022,1,Kharif,NA Land ,0-15-0.00,2021-09-04,,,13.0600397,74.848998,
445396679,24,Dakshina Kannada,1,Mangalore,4,MULKI,2,3-KARNADU,119,2021-2022,1,Kharif,NA Land ,0-6-70.00,2021-09-19,,,13.075776,74.7985629,
445452063,24,Dakshina Kannada,1,Mangalore,4,MULKI,30,KILENJURU,119,2021-2022,1,Kharif,Fallow,0-40-0.00,2021-09-19,,,13.0368052,74.8421476,
445463602,24,Dakshina Kannada,1,Mangalore,4,MULKI,8,8-HALEYANGADI,119,2021-2022,1,Kharif,NA Land ,0-20-0.00,2021-09-19,,,13.0423878,74.800956,
445471903,24,Dakshina Kannada,1,Mangalore,4,MULKI,30,KILENJURU,119,2021-2022,1,Kharif,Fallow,0-30-0.00,2021-09-19,,,13.0305749,74.8390078,
445198181,24,Dakshina Kannada,1,Mangalore,4,MULKI,26,16-TALIPADI,119,2021-2022,1,Kharif,Coconut,0-46-0.00,2021-09-18,,,13.083035,74.8538443,
445198181,24,Dakshina Kannada,1,Mangalore,4,MULKI,26,16-TALIPADI,119,2021-2022,1,Kharif,Coconut,0-46-0.00,2021-09-18,,,13.0830599,74.8538478,
445198243,24,Dakshina Kannada,1,Mangalore,4,MULKI,26,16-TALIPADI,119,2021-2022,1,Kharif,Coconut,0-75-0.00,2021-09-18,,,13.0829787,74.8538662,
445198243,24,Dakshina Kannada,1,Mangalore,4,MULKI,26,16-TALIPADI,119,2021-2022,1,Kharif,Coconut,0-75-0.00,2021-09-18,,,13.082993,74.8538542,
445224475,24,Dakshina Kannada,1,Mangalore,4,MULKI,15,17-KILPADI,119,2021-2022,1,Kharif,Fallow,0-10-0.00,2021-09-18,,,13.0791908,74.806306,
445103321,24,Dakshina Kannada,1,Mangalore,4,MULKI,25,30-ELINJE,119,2021-2022,1,Kharif,Fallow,0-30-0.00,2021-09-15,,,13.0878071,74.8811214,
445145182,24,Dakshina Kannada,1,Mangalore,4,MULKI,19,23-KARNIRE,119,2021-2022,1,Kharif,Fallow,0-5-0.00,2021-09-18,,,13.12318897,74.82562973,
445472017,24,Dakshina Kannada,1,Mangalore,4,MULKI,8,8-HALEYANGADI,119,2021-2022,1,Kharif,NA Land ,0-17-0.00,2021-09-19,,,13.0421914,74.8022238,
445032381,24,Dakshina Kannada,1,Mangalore,4,MULKI,6,9-BELLAYARU,119,2021-2022,1,Kharif,NA Land ,0-35-0.00,2021-09-17,,,13.0563512,74.8034512,
444829547,24,Dakshina Kannada,1,Mangalore,4,MULKI,15,17-KILPADI,119,2021-2022,1,Kharif,Fallow,0-5-0.00,2021-09-16,,,13.0880931,74.8041562,
444829589,24,Dakshina Kannada,1,Mangalore,4,MULKI,15,17-KILPADI,119,2021-2022,1,Kharif,Fallow,0-13-0.00,2021-09-16,,,13.0880751,74.804058,
445160624,24,Dakshina Kannada,1,Mangalore,4,MULKI,25,30-ELINJE,119,2021-2022,1,Kharif,Fallow,0-30-0.00,2021-09-16,,,13.0873594,74.8702834,
445160033,24,Dakshina Kannada,1,Mangalore,4,MULKI,25,30-ELINJE,119,2021-2022,1,Kharif,Fallow,1-3-0.00,2021-09-16,,,13.0876324,74.8693999,
443602714,24,Dakshina Kannada,1,Mangalore,4,MULKI,28,33-NADUGODU,119,2021-2022,1,Kharif,Fallow,0-51-0.00,2021-09-04,,,13.0420708,74.8663015,
443602719,24,Dakshina Kannada,1,Mangalore,4,MULKI,28,33-NADUGODU,119,2021-2022,1,Kharif,Fallow,0-50-0.00,2021-09-04,,,13.0418018,74.8639156,
443602720,24,Dakshina Kannada,1,Mangalore,4,MULKI,28,33-NADUGODU,119,2021-2022,1,Kharif,NA Land ,0-50-0.00,2021-09-04,,,13.0417918,74.8639068,
443610012,24,Dakshina Kannada,1,Mangalore,4,MULKI,9,7-PAVANJE,119,2021-2022,1,Kharif,Fallow,0-1-0.00,2021-09-04,,,13.0384523,74.7951285,
