Survey_id,District_code,District_Name,Taluk_code,Taluk_Name,Hobli_code,Hobli_Name,Village_code,Village_Name,Year_code,Years,Season_code,Season,Cropname,Crop_Extent,CropSurveyDate,Month,Weekname,Latitude,Longtitude,Image_url
442705259,24,Dakshina kannada,1,Mangalore,1,MANGALURU A,5,83-BAJAL,118,2020-2021,1,Kharif,Fallow,0-4-25.00,2020-09-24,NULL,NULL,12.8562383,74.8887136,https://kodi.karnataka.gov.in/crop_image/image?key=L09GRklDRVJfS0hBUklGX0NST1BfSU1BR0VTL0ltYWdlcy9ZQ18xMTgvU0NfMS9EQ18yNC9UQ18xL0hDXzEvVkNfNS9MQ18yOTMzL09OXzIvT25lXzE2MDA5MzM3ODU0NTMuanBn
445442295,24,Dakshina kannada,1,Mangalore,1,MANGALURU A,5,83-BAJAL,118,2020-2021,1,Kharif,Coconut,1-3-0.00,2020-10-21,NULL,NULL,12.8591403,74.8896211,https://kodi.karnataka.gov.in/crop_image/image?key=L09GRklDRVJfS0hBUklGX0NST1BfSU1BR0VTL0ltYWdlcy9ZQ18xMTgvU0NfMS9EQ18yNC9UQ18xL0hDXzEvVkNfNS9MQ18xMDA5L09OXzUvT25lXzE2MDMyNTczMzU1NjQuanBn
445442296,24,Dakshina kannada,1,Mangalore,1,MANGALURU A,5,83-BAJAL,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),0-15-0.00,2020-10-21,NULL,NULL,12.859166,74.8896421,https://kodi.karnataka.gov.in/crop_image/image?key=L09GRklDRVJfS0hBUklGX0NST1BfSU1BR0VTL0ltYWdlcy9ZQ18xMTgvU0NfMS9EQ18yNC9UQ18xL0hDXzEvVkNfNS9MQ18xMDI0L09OXzEvT25lXzE2MDMyNTc3NDcxMDQuanBn
445442297,24,Dakshina kannada,1,Mangalore,1,MANGALURU A,5,83-BAJAL,118,2020-2021,1,Kharif,Coconut,0-7-0.00,2020-10-21,NULL,NULL,12.8591699,74.8896604,https://kodi.karnataka.gov.in/crop_image/image?key=L09GRklDRVJfS0hBUklGX0NST1BfSU1BR0VTL0ltYWdlcy9ZQ18xMTgvU0NfMS9EQ18yNC9UQ18xL0hDXzEvVkNfNS9MQ18xMDIzL09OXzEvT25lXzE2MDMyNTc4OTM5OTMuanBn
445442298,24,Dakshina kannada,1,Mangalore,1,MANGALURU A,5,83-BAJAL,118,2020-2021,1,Kharif,Fallow,0-1-0.00,2020-10-21,NULL,NULL,12.8591784,74.8896387,https://kodi.karnataka.gov.in/crop_image/image?key=L09GRklDRVJfS0hBUklGX0NST1BfSU1BR0VTL0ltYWdlcy9ZQ18xMTgvU0NfMS9EQ18yNC9UQ18xL0hDXzEvVkNfNS9MQ18xMDI0L09OXzQvT25lXzE2MDMyNTgwMzQ5MDEuanBn
445442299,24,Dakshina kannada,1,Mangalore,1,MANGALURU A,5,83-BAJAL,118,2020-2021,1,Kharif,Cardamom,0-54-0.00,2020-10-21,NULL,NULL,12.8591614,74.8896493,https://kodi.karnataka.gov.in/crop_image/image?key=L09GRklDRVJfS0hBUklGX0NST1BfSU1BR0VTL0ltYWdlcy9ZQ18xMTgvU0NfMS9EQ18yNC9UQ18xL0hDXzEvVkNfNS9MQ18xMDI1L09OXzQvT25lXzE2MDMyNTgyMDg3MzAuanBn
445442300,24,Dakshina kannada,1,Mangalore,1,MANGALURU A,5,83-BAJAL,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),0-29-0.00,2020-10-21,NULL,NULL,12.8591333,74.8897029,https://kodi.karnataka.gov.in/crop_image/image?key=L09GRklDRVJfS0hBUklGX0NST1BfSU1BR0VTL0ltYWdlcy9ZQ18xMTgvU0NfMS9EQ18yNC9UQ18xL0hDXzEvVkNfNS9MQ18xMDI2L09OXzQvT25lXzE2MDMyNTgzNjMwMzUuanBn
445442301,24,Dakshina kannada,1,Mangalore,1,MANGALURU A,5,83-BAJAL,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),1-76-50.00,2020-10-21,NULL,NULL,12.8591569,74.8896381,https://kodi.karnataka.gov.in/crop_image/image?key=L09GRklDRVJfS0hBUklGX0NST1BfSU1BR0VTL0ltYWdlcy9ZQ18xMTgvU0NfMS9EQ18yNC9UQ18xL0hDXzEvVkNfNS9MQ18xMDA4L09OXzQvT25lXzE2MDMyNTg3NDkxOTUuanBn
445442302,24,Dakshina kannada,1,Mangalore,1,MANGALURU A,5,83-BAJAL,118,2020-2021,1,Kharif,Coconut,0-12-0.00,2020-10-21,NULL,NULL,12.8596729,74.8896712,https://kodi.karnataka.gov.in/crop_image/image?key=L09GRklDRVJfS0hBUklGX0NST1BfSU1BR0VTL0ltYWdlcy9ZQ18xMTgvU0NfMS9EQ18yNC9UQ18xL0hDXzEvVkNfNS9MQ185ODQvT05fMS9PbmVfMTYwMzI1OTIxMzE4Ny5qcGc=
40196557,24,Dakshina kannada,1,Mangalore,1,MANGALURU A,12,85 BI-JAPPINA MOGARU,118,2020-2021,1,Kharif,Paddy-L,1-0-0.00,2020-08-22,May,4th week,12.8472758,74.8660094,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18xL1ZDXzEyL0xDXzE0MjUvT05fMi9PbmVfMTU5ODA3OTg1NjA4My5qcGc=
