Survey_id,District_code,District_Name,Taluk_code,Taluk_Name,Hobli_code,Hobli_Name,Village_code,Village_Name,Year_code,Years,Season_code,Season,Cropname,Crop_Extent,CropSurveyDate,Month,Weekname,Latitude,Longtitude,Image_url
40008622,24,Dakshina kannada,1,Mangalore,2,MANGALURU B,19,ALAPE,118,2020-2021,1,Kharif,Coconut,0-15-0.00,2020-08-16,NULL,NULL,12.8649869,74.8757482,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18yL1ZDXzE5L0xDXzI0L09OXzI2L09uZV8xNTk3NTU4MjIwNDM3LmpwZw==
40008639,24,Dakshina kannada,1,Mangalore,2,MANGALURU B,19,ALAPE,118,2020-2021,1,Kharif,Coconut,0-75-0.00,2020-08-16,NULL,NULL,12.8648438,74.875605,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18yL1ZDXzE5L0xDXzIyL09OXzEwL09uZV8xNTk3NTU3ODUwNDM2LmpwZw==
40008639,24,Dakshina kannada,1,Mangalore,2,MANGALURU B,19,ALAPE,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),0-75-0.00,2020-08-16,NULL,NULL,12.8647712,74.8756758,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18yL1ZDXzE5L0xDXzIyL09OXzEwL09uZV8xNTk3NTU3OTM4ODc3LmpwZw==
40008687,24,Dakshina kannada,1,Mangalore,2,MANGALURU B,19,ALAPE,118,2020-2021,1,Kharif,Coconut,0-50-0.00,2020-08-16,NULL,NULL,12.8649732,74.875719,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18yL1ZDXzE5L0xDXzIwL09OXzI3L09uZV8xNTk3NTU4Njg4MDE5LmpwZw==
40008739,24,Dakshina kannada,1,Mangalore,2,MANGALURU B,19,ALAPE,118,2020-2021,1,Kharif,Coconut,0-6-0.00,2020-08-16,NULL,NULL,12.8648304,74.875621,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18yL1ZDXzE5L0xDXzIxL09OXzEwL09uZV8xNTk3NTU5MDE3NjEzLmpwZw==
40008795,24,Dakshina kannada,1,Mangalore,2,MANGALURU B,19,ALAPE,118,2020-2021,1,Kharif,Coconut,0-22-0.00,2020-08-16,NULL,NULL,12.8648785,74.8756572,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18yL1ZDXzE5L0xDXzIzL09OXzEyL09uZV8xNTk3NTU5MjEyMzQ3LmpwZw==
40008814,24,Dakshina kannada,1,Mangalore,2,MANGALURU B,19,ALAPE,118,2020-2021,1,Kharif,Coconut,0-2-0.00,2020-08-16,NULL,NULL,12.8647991,74.8756278,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18yL1ZDXzE5L0xDXzIzL09OXzEwL09uZV8xNTk3NTU5MzEyOTIxLmpwZw==
40008871,24,Dakshina kannada,1,Mangalore,2,MANGALURU B,19,ALAPE,118,2020-2021,1,Kharif,Coconut,0-24-0.00,2020-08-16,NULL,NULL,12.8648438,74.8756415,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18yL1ZDXzE5L0xDXzIzL09OXzExL09uZV8xNTk3NTU5NjY4MTA3LmpwZw==
40008899,24,Dakshina kannada,1,Mangalore,2,MANGALURU B,19,ALAPE,118,2020-2021,1,Kharif,Harvest over Crop-Paddy-L,0-15-0.00,2020-08-16,NULL,NULL,12.8648353,74.8756014,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18yL1ZDXzE5L0xDXzE5L09OXzEwL09uZV8xNTk3NTU5NzE3Mjk3LmpwZw==
40008899,24,Dakshina kannada,1,Mangalore,2,MANGALURU B,19,ALAPE,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),0-82-0.00,2020-08-16,NULL,NULL,12.864868,74.8754754,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18yL1ZDXzE5L0xDXzE5L09OXzEwL09uZV8xNTk3NTU5ODgzMDIyLmpwZw==
