Survey_id,District_code,District_Name,Taluk_code,Taluk_Name,Hobli_code,Hobli_Name,Village_code,Village_Name,Year_code,Years,Season_code,Season,Cropname,Crop_Extent,CropSurveyDate,Month,Weekname,Latitude,Longtitude,Image_url
440209616,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-4-0.00,2021-12-28,,,12.8436148,75.0396343,
440209620,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-8-0.00,2021-12-28,,,12.8437893,75.0397741,
440209622,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-0-50.00,2021-12-28,,,12.8429724,75.0419311,
440209645,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-7-0.00,2021-12-28,,,12.8443308,75.0419343,
440209663,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,NA Land ,0-5-0.00,2021-12-28,,,12.8445642,75.0422247,
440209744,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-12-0.00,2021-12-28,,,12.8455696,75.0413184,
440209746,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-34-0.00,2021-12-28,,,12.8455695,75.0413079,
440209750,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-4-0.00,2021-12-28,,,12.846566,75.040539,
440209759,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-6-0.00,2021-12-28,,,12.8465715,75.040558,
440209764,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,2-0-0.00,2021-12-28,,,12.8470146,75.0431799,
440209766,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-5-0.00,2021-12-28,,,12.847031,75.0431997,
440209768,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-12-0.00,2021-12-28,,,12.8470177,75.0431952,
440209795,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-20-0.00,2021-12-28,,,12.8472486,75.0445699,
440209797,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-20-0.00,2021-12-28,,,12.8472533,75.0445705,
440209799,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-4-0.00,2021-12-28,,,12.8472467,75.044556,
440209801,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-22-0.00,2021-12-28,,,12.847244,75.0445578,
440209820,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-50-0.00,2021-12-28,,,12.8473036,75.0458978,
440209841,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-10-0.00,2021-12-28,,,12.8473728,75.0458798,
440209845,24,Dakshina Kannada,2,Bantwal,2,PANEMANGALURU,2,AMTURU,119,2021-2022,2,Rabi,Fallow,0-12-0.00,2021-12-28,,,12.8473744,75.0458816,
