Survey_id,District_code,District_Name,Taluk_code,Taluk_Name,Hobli_code,Hobli_Name,Village_code,Village_Name,Year_code,Years,Season_code,Season,Cropname,Crop_Extent,CropSurveyDate,Month,Weekname,Latitude,Longtitude,Image_url
41293071,24,Dakshina kannada,1,Mangalore,3,SURATKAL,21,35-BADAGEKKARU,118,2020-2021,1,Kharif,Fallow,0-52-0.00,2020-09-03,NULL,NULL,13.0388942,74.8737732,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18zL1ZDXzIxL0xDXzgxL09OXzEvT25lXzE1OTkwOTk5MTg1NjcuanBn
41293152,24,Dakshina kannada,1,Mangalore,3,SURATKAL,21,35-BADAGEKKARU,118,2020-2021,1,Kharif,Fallow,0-20-0.00,2020-09-03,NULL,NULL,13.0388964,74.8737752,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18zL1ZDXzIxL0xDXzgyL09OXzEvT25lXzE1OTkwOTk5NjI0MjIuanBn
41293316,24,Dakshina kannada,1,Mangalore,3,SURATKAL,21,35-BADAGEKKARU,118,2020-2021,1,Kharif,Fallow,0-9-0.00,2020-09-03,NULL,NULL,13.0388999,74.8737761,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18zL1ZDXzIxL0xDXzgzL09OXzEvT25lXzE1OTkxMDAwMzkyNzAuanBn
41293428,24,Dakshina kannada,1,Mangalore,3,SURATKAL,21,35-BADAGEKKARU,118,2020-2021,1,Kharif,Fallow,0-16-0.00,2020-09-03,NULL,NULL,13.038936,74.8737663,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18zL1ZDXzIxL0xDXzI2OTcvT05fMS9PbmVfMTU5OTEwMDExOTE3MS5qcGc=
41293439,24,Dakshina kannada,1,Mangalore,3,SURATKAL,21,35-BADAGEKKARU,118,2020-2021,1,Kharif,Fallow,0-10-0.00,2020-09-03,NULL,NULL,13.0388971,74.873778,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18zL1ZDXzIxL0xDXzczL09OXzEvT25lXzE1OTkxMDAxMzU0NzguanBn
41293578,24,Dakshina kannada,1,Mangalore,3,SURATKAL,21,35-BADAGEKKARU,118,2020-2021,1,Kharif,Fallow,0-16-0.00,2020-09-03,NULL,NULL,13.0389226,74.873801,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18zL1ZDXzIxL0xDXzI2OTYvT05fMS9PbmVfMTU5OTEwMDI0MDMwMy5qcGc=
41293647,24,Dakshina kannada,1,Mangalore,3,SURATKAL,21,35-BADAGEKKARU,118,2020-2021,1,Kharif,Fallow,0-10-0.00,2020-09-03,NULL,NULL,13.0388939,74.8737805,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18zL1ZDXzIxL0xDXzc0L09OXzIvT25lXzE1OTkxMDAyNzczMjcuanBn
41293695,24,Dakshina kannada,1,Mangalore,3,SURATKAL,21,35-BADAGEKKARU,118,2020-2021,1,Kharif,Fallow,1-9-0.00,2020-09-03,NULL,NULL,13.0389411,74.8737979,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18zL1ZDXzIxL0xDXzIyNzkvT05fMS9PbmVfMTU5OTEwMDMwOTAzOC5qcGc=
41293831,24,Dakshina kannada,1,Mangalore,3,SURATKAL,21,35-BADAGEKKARU,118,2020-2021,1,Kharif,Fallow,0-8-50.00,2020-09-03,NULL,NULL,13.038884,74.8737818,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18zL1ZDXzIxL0xDXzg2L09OXzEyL09uZV8xNTk5MTAwMzc4ODI3LmpwZw==
41293834,24,Dakshina kannada,1,Mangalore,3,SURATKAL,21,35-BADAGEKKARU,118,2020-2021,1,Kharif,Fallow,0-7-0.00,2020-09-03,NULL,NULL,13.0389063,74.8737484,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMS9IQ18zL1ZDXzIxL0xDXzc1L09OXzEvT25lXzE1OTkxMDAzODIxMzcuanBn
