Survey_id,District_code,District_Name,Taluk_code,Taluk_Name,Hobli_code,Hobli_Name,Village_code,Village_Name,Year_code,Years,Season_code,Season,Cropname,Crop_Extent,CropSurveyDate,Month,Weekname,Latitude,Longtitude,Image_url
443640005,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Coconut,0-22-0.00,2021-09-05,,,12.7889082,75.2258272,
443640005,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Coconut,0-22-0.00,2021-09-05,,,12.7889605,75.2257348,
443640021,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Coconut,0-12-0.00,2021-09-05,,,12.7889162,75.2258679,
443640021,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Coconut,0-12-0.00,2021-09-05,,,12.78891618,75.22586786,
443640021,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Pepper (Black),0-12-0.00,2021-09-05,,,12.7888991,75.2258333,
443640021,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Pepper (Black),0-12-0.00,2021-09-05,,,12.7889052,75.2258322,
443640039,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-70-0.00,2021-09-05,,,12.7889204,75.2258382,
443640039,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-70-0.00,2021-09-05,,,12.7889204,75.2258382,
443640039,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Coconut,0-30-0.00,2021-09-05,,,12.7889261,75.2258392,
443640039,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Coconut,0-30-0.00,2021-09-05,,,12.78892616,75.22583923,
443640039,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Pepper (Black),0-70-0.00,2021-09-05,,,12.7889259,75.2258394,
443640039,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Pepper (Black),0-70-0.00,2021-09-05,,,12.78892584,75.22583937,
443640039,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Banana ,0-70-0.00,2021-09-05,september,1st week,12.7889226,75.2258342,
443640039,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Banana ,0-70-0.00,2021-09-05,september,1st week,12.7889226,75.22583419,
443640053,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-60-0.00,2021-09-05,,,12.7889069,75.2258394,
443640053,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-60-0.00,2021-09-05,,,12.7889068,75.2258395,
443640053,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Coconut,0-60-0.00,2021-09-05,,,12.7889121,75.2258245,
443640053,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Coconut,0-60-0.00,2021-09-05,,,12.788993,75.225855,
443640068,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-80-0.00,2021-09-05,,,12.7889087,75.2258381,
443640068,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-80-0.00,2021-09-05,,,12.7889046,75.2258384,
443809373,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,15,34 NEKKILADI,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-50-0.00,2021-09-08,,,12.8280963,75.2297476,
444165748,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,17,PADNURU,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-16-0.00,2021-09-12,,,12.8009808,75.1750831,
444165748,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,17,PADNURU,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-16-0.00,2021-09-12,,,12.800985,75.1750167,
444565150,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,9,KABAKA,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-64-0.00,2021-09-15,,,12.7761699,75.1761724,
444565150,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,9,KABAKA,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-64-0.00,2021-09-15,,,12.7761699,75.1761724,
444565150,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,9,KABAKA,119,2021-2022,1,Kharif,Coconut,0-64-0.00,2021-09-15,,,12.7761856,75.1761235,
443839184,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,3,BANNURU,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-15-0.00,2021-09-09,,,12.7813143,75.2026831,
443839184,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,3,BANNURU,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-15-0.00,2021-09-09,,,12.7813144,75.2026832,
443839184,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,3,BANNURU,119,2021-2022,1,Kharif,Coconut,0-15-0.00,2021-09-09,,,12.7813224,75.2027045,
443839184,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,3,BANNURU,119,2021-2022,1,Kharif,Coconut,0-15-0.00,2021-09-09,,,12.7813224,75.2027045,
444015683,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-57-0.00,2021-09-11,,,12.7905845,75.2292727,
444015683,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,5,CHIKKAMUDNURU,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-57-0.00,2021-09-11,,,12.79058671,75.2292718,
444252168,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,10,KODIMBADI,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-80-0.00,2021-09-13,,,12.8157367,75.21471,
444252168,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,10,KODIMBADI,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-80-0.00,2021-09-13,,,12.8157794,75.2147585,
444252228,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,10,KODIMBADI,119,2021-2022,1,Kharif,NA Land ,0-5-0.00,2021-09-13,,,12.8157762,75.2147584,
444252228,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,10,KODIMBADI,119,2021-2022,1,Kharif,NA Land ,0-5-0.00,2021-09-13,,,12.8157717,75.2147583,
444540088,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,7,HIREBANDADI,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-47-0.00,2021-09-15,,,12.8116539,75.2753764,
444540088,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,7,HIREBANDADI,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-47-0.00,2021-09-15,,,12.81164948,75.27537568,
444445737,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,19,UPPINANGADI,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-25-50.00,2021-09-14,,,12.8344693,75.2665935,
444505068,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,10,KODIMBADI,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),2-0-0.00,2021-09-15,,,12.811089,75.2200663,
444505068,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,10,KODIMBADI,119,2021-2022,1,Kharif,Coconut,0-10-0.00,2021-09-15,,,12.8110736,75.2200996,
444505068,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,10,KODIMBADI,119,2021-2022,1,Kharif,Coconut,0-10-0.00,2021-09-15,,,12.8111042,75.2200724,
443783400,24,Dakshina Kannada,4,Puttur,3,UPPINANGADI,10,KODIMBADI,119,2021-2022,1,Kharif,Betel Nuts (Areca nuts),0-37-0.00,2021-09-08,,,12.8209383,75.2122333,
