Survey_id,District_code,District_Name,Taluk_code,Taluk_Name,Hobli_code,Hobli_Name,Village_code,Village_Name,Year_code,Years,Season_code,Season,Cropname,Crop_Extent,CropSurveyDate,Month,Weekname,Latitude,Longtitude,Image_url
40834606,24,Dakshina kannada,3,Belthangady,3,VENURU,14,ANDINJE,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),0-66-0.00,2020-08-29,NULL,NULL,13.0604999,75.1414293,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMy9IQ18zL1ZDXzE0L0xDXzEzL09OXzMvT25lXzE1OTg2NzkwNjU5MzQuanBn
40834613,24,Dakshina kannada,3,Belthangady,3,VENURU,14,ANDINJE,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),1-59-0.00,2020-08-29,NULL,NULL,13.0604882,75.1414502,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMy9IQ18zL1ZDXzE0L0xDXzE0L09OXzEvT25lXzE1OTg2NzkxMDg0ODIuanBn
40834618,24,Dakshina kannada,3,Belthangady,3,VENURU,14,ANDINJE,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),0-40-0.00,2020-08-29,NULL,NULL,13.0604963,75.1414231,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMy9IQ18zL1ZDXzE0L0xDXzE1L09OXzMvT25lXzE1OTg2NzkxNTEwMTEuanBn
40934184,24,Dakshina kannada,3,Belthangady,3,VENURU,14,ANDINJE,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),2-57-0.00,2020-08-30,NULL,NULL,13.0433998,75.1697974,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMy9IQ18zL1ZDXzE0L0xDXzIwODcvT05fMS9PbmVfMTU5ODc3MjIzMTA0Mi5qcGc=
40934184,24,Dakshina kannada,3,Belthangady,3,VENURU,14,ANDINJE,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),2-57-0.00,2020-08-30,NULL,NULL,13.0434033,75.1697839,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMy9IQ18zL1ZDXzE0L0xDXzIwODcvT05fMS9Ud29fMTU5ODc3MjI1MjUyOC5qcGc=
40934184,24,Dakshina kannada,3,Belthangady,3,VENURU,14,ANDINJE,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),2-57-0.00,2020-08-30,NULL,NULL,13.0434233,75.1697838,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMy9IQ18zL1ZDXzE0L0xDXzIwODcvT05fMS9UaHJlZV8xNTk4NzcyMjkxNjk5LmpwZw==
40970754,24,Dakshina kannada,3,Belthangady,3,VENURU,14,ANDINJE,118,2020-2021,1,Kharif,Paddy-L,0-65-0.00,2020-08-30,June,5th week,13.0609873,75.1409215,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMy9IQ18zL1ZDXzE0L0xDXzE3L09OXzEvT25lXzE1OTg3ODc2OTg3OTAuanBn
40970754,24,Dakshina kannada,3,Belthangady,3,VENURU,14,ANDINJE,118,2020-2021,1,Kharif,Paddy-L,0-65-0.00,2020-08-30,June,5th week,13.0609417,75.1410575,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMy9IQ18zL1ZDXzE0L0xDXzE3L09OXzEvVHdvXzE1OTg3ODc4NDA3MzIuanBn
40970754,24,Dakshina kannada,3,Belthangady,3,VENURU,14,ANDINJE,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),0-45-0.00,2020-08-30,June,5th week,13.0608875,75.140905,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMy9IQ18zL1ZDXzE0L0xDXzE3L09OXzEvT25lXzE1OTg3ODgxMDM1NDguanBn
40970754,24,Dakshina kannada,3,Belthangady,3,VENURU,14,ANDINJE,118,2020-2021,1,Kharif,Betel Nuts (Areca nuts),0-45-0.00,2020-08-30,June,5th week,13.0611968,75.1410001,https://kodi.karnataka.gov.in/crop_image/image?key=L0ZBUk1FUl9DUk9QU1VSVkVZX0lNQUdFUy9JbWFnZXMvWUNfMTE4L1NDXzEvRENfMjQvVENfMy9IQ18zL1ZDXzE0L0xDXzE3L09OXzEvVHdvXzE1OTg3ODgyMjc1ODcuanBn
