Survey_id,District_code,District_Name,Taluk_code,Taluk_Name,Hobli_code,Hobli_Name,Village_code,Village_Name,Year_code,Years,Season_code,Season,Cropname,Crop_Extent,CropSurveyDate,Month,Weekname,Latitude,Longtitude,Image_url
40012620,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,NA Land ,0-13-0.00,2021-12-28,,,13.0027418,75.1586556,
440273533,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,1-14-0.00,2021-12-29,,,13.0369647,75.0836785,
440273546,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,0-53-0.00,2021-12-29,,,13.0359334,75.0809633,
440273548,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,0-74-0.00,2021-12-29,,,13.0359287,75.080961,
440273563,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,NA Land ,0-9-0.00,2021-12-29,,,13.0359076,75.0808599,
440273590,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,0-98-0.00,2021-12-29,,,13.0361122,75.079899,
440273592,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,0-27-0.00,2021-12-29,,,13.0361022,75.0799172,
440273592,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Betel Nuts (Areca nuts),1-53-0.00,2021-12-29,,,13.0360784,75.0799351,
440273616,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,0-70-0.00,2021-12-29,,,13.0360569,75.0799655,
440273622,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,0-67-0.00,2021-12-29,,,13.0360621,75.0799865,
440273624,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,0-52-0.00,2021-12-29,,,13.0360784,75.0799768,
440273635,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,0-23-0.00,2021-12-29,,,13.0360834,75.0799358,
440273677,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,1-68-0.00,2021-12-29,,,13.0374295,75.0876479,
440273685,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,0-16-0.00,2021-12-29,,,13.0374721,75.0873007,
440273748,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,0-18-0.00,2021-12-29,,,13.0297813,75.0906707,
440273748,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Betel Nuts (Areca nuts),0-70-0.00,2021-12-29,,,13.0297871,75.0905844,
440273777,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,0-65-0.00,2021-12-29,,,13.030567,75.0913118,
440273603,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,0-72-0.00,2021-12-29,,,13.0360455,75.0799422,
440273610,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,1-55-0.00,2021-12-29,,,13.0361061,75.079955,
440273650,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,Fallow,4-49-0.00,2021-12-29,,,13.0357214,75.0876103,
440273657,24,Dakshina Kannada,3,Belthangady,3,VENURU,5,HOSANGADI,119,2021-2022,2,Rabi,NA Land ,0-16-0.00,2021-12-29,,,13.035742,75.0876194,
