feature,group,type,coconut_mean,coconut_median,coconut_std,coconut_min,coconut_max,coconut_iqr,pepper_mean,pepper_median,pepper_std,pepper_min,pepper_max,pepper_iqr,cohens_d,abs_d,missing_coconut,missing_pepper,rank
relative_humidity_pct,Climate,numeric,78.452599,78.450873,0.906442,77.314797,81.830141,0.931519,78.136114,78.060106,0.577529,77.314797,81.830141,0.866109,0.381227,0.381227,0,0,1
soil_ph,Soil,numeric,56.71308,56.507304,1.044209,54.484388,61.0,1.0,56.351636,56.160086,0.74153,54.166005,60.108641,0.866541,0.372069,0.372069,0,0,2
kharif_ndwi,Vegetation (sat. composites),numeric,-0.568207,-0.635445,0.165486,-0.764259,0.145871,0.152158,-0.615586,-0.659031,0.127262,-0.755103,-0.037412,0.082131,0.303631,0.303631,0,0,3
kharif_ndvi,Vegetation (sat. composites),numeric,0.641282,0.711224,0.181655,-0.030919,0.854778,0.18343,0.691172,0.740514,0.143369,0.065309,0.854808,0.112925,-0.289869,0.289869,0,0,4
lat,Spatial,numeric,12.913891,12.926443,0.103605,12.666562,13.168007,0.161046,12.884674,12.885696,0.102873,12.66483,13.141735,0.153515,0.282545,0.282545,0,0,5
soil_clay_pct,Soil,numeric,321.429923,319.029957,28.846631,258.30059,401.496394,43.258571,313.876026,313.170762,23.78447,258.329151,392.818045,32.700645,0.274039,0.274039,0,0,6
lon,Spatial,numeric,75.158006,75.147636,0.165736,74.839566,75.525445,0.214439,75.20096,75.189242,0.132605,74.841063,75.524274,0.188349,-0.272835,0.272835,0,0,7
ndwi,Vegetation (sat. composites),numeric,-0.622887,-0.636456,0.069892,-0.760361,0.09515,0.076708,-0.639884,-0.64945,0.052974,-0.754105,-0.373641,0.064922,0.258582,0.258582,0,0,8
ndre,Vegetation (sat. composites),numeric,0.456224,0.468471,0.08417,0.001643,0.646701,0.108745,0.477235,0.488334,0.073596,0.114,0.62288,0.099554,-0.258,0.258,0,0,9
ndvi,Vegetation (sat. composites),numeric,0.663595,0.687786,0.109514,0.058003,0.844049,0.139025,0.68971,0.712011,0.091397,0.271,0.831863,0.12014,-0.248933,0.248933,0,0,10
savi,Vegetation (sat. composites),numeric,0.995244,1.03151,0.164245,0.086978,1.265912,0.208496,1.03441,1.067862,0.137076,0.406442,1.247624,0.180188,-0.248929,0.248929,0,0,11
evi,Vegetation (sat. composites),numeric,2.053315,2.134946,0.490794,-0.238574,4.175081,0.679034,2.166305,2.233633,0.445027,0.575771,4.163163,0.634685,-0.235982,0.235982,0,0,12
year,Matching/metadata,numeric,2020.034949,2020.0,0.183671,2020.0,2021.0,0.0,2020.002502,2020.0,0.049969,2020.0,2021.0,0.0,0.204161,0.204161,0,0,13
rabi_ndwi,Vegetation (sat. composites),numeric,-0.643763,-0.657593,0.065798,-0.751148,0.070294,0.066971,-0.656013,-0.666856,0.049294,-0.754376,-0.404476,0.058309,0.19836,0.19836,0,0,14
rabi_ndvi,Vegetation (sat. composites),numeric,0.700323,0.726455,0.099616,0.103695,0.843531,0.122346,0.718913,0.742663,0.084192,0.27111,0.844044,0.10391,-0.194302,0.194302,0,0,15
rabi_evi,Vegetation (sat. composites),numeric,2.251584,2.339075,0.526313,-5.378066,14.148388,0.634563,2.337334,2.4213,0.47378,-5.339248,3.84407,0.573407,-0.167287,0.167287,0,0,16
elevation,Terrain,numeric,87.562812,90.029765,38.935228,2.163178,501.107524,43.8576,93.568297,92.355009,31.140316,13.261057,505.661018,35.103238,-0.162386,0.162386,0,0,17
spatial_match_distance_km,Matching/metadata,numeric,0.174151,0.14805,0.144529,0.0033,1.5485,0.12395,0.155431,0.145,0.088457,0.0014,1.1294,0.10865,0.142147,0.142147,0,0,18
env_match_distance_m,Matching/metadata,numeric,174.08935,148.05,144.035271,3.26,1548.51,123.975,155.43252,144.91,88.455718,1.39,1129.35,108.575,0.142093,0.142093,0,0,19
dewpoint_c,Climate,numeric,22.096407,22.244868,0.754331,18.572677,23.352088,0.826434,22.00498,21.909906,0.597269,19.966809,23.352088,0.614181,0.127846,0.127846,0,0,20
soil_moisture,Soil,numeric,0.295466,0.298221,0.025544,0.181896,0.354736,0.006722,0.297169,0.298221,0.017856,0.181896,0.352161,0.003411,-0.071829,0.071829,0,0,21
soil_organic_carbon,Soil,numeric,360.784112,386.220893,76.700068,211.385656,778.452963,137.850315,356.309526,381.120884,70.732475,212.730493,545.028296,131.930182,0.05956,0.05956,0,0,22
s2_obs_count,Vegetation (sat. composites),numeric,31.365409,27.0,10.167251,24.0,72.464955,1.0,30.81467,27.0,9.702426,26.0,91.676083,1.0,0.054837,0.054837,0,0,23
slope,Terrain,numeric,5.953001,5.430213,2.748785,0.041501,24.418799,3.190209,6.091077,5.559179,2.737941,0.161557,24.712385,3.234381,-0.050285,0.050285,0,0,24
temperature_c,Climate,numeric,26.140584,26.231683,0.736007,22.59323,27.13267,0.862107,26.114297,25.995806,0.624661,24.016973,27.13267,0.703163,0.037154,0.037154,0,0,25
