modality,representation,model,split,n_features,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_coconut,recall_coconut,precision_pepper,recall_pepper,confusion_matrix,beats_majority,majority_prior_accuracy
image,A_nearest_frame,lr,val,2,0.4717,0.5187,0.4181,0.5274,0.6327,0.1493,0.447,0.8881,"[[205, 1168], [119, 944]]",False,0.5636
image,A_nearest_frame,rf,val,2,0.546,0.5047,0.4649,0.5181,0.5664,0.8296,0.4494,0.1797,"[[1139, 234], [872, 191]]",False,0.5636
image,A_nearest_frame,gb,val,2,0.5497,0.5015,0.4402,0.5218,0.5645,0.8798,0.4426,0.1232,"[[1208, 165], [932, 131]]",False,0.5636
image,A_nearest_frame,mlp,val,2,0.5636,0.5,0.3604,0.5365,0.5636,1.0,0.0,0.0,"[[1373, 0], [1063, 0]]",False,0.5636
image,A_nearest_frame,lr,test,2,0.4765,0.5052,0.405,0.5128,0.5598,0.1208,0.4656,0.8896,"[[145, 1055], [114, 919]]",False,0.5374
image,A_nearest_frame,rf,test,2,0.5289,0.5063,0.4677,0.5075,0.5413,0.8075,0.4786,0.2052,"[[969, 231], [821, 212]]",False,0.5374
image,A_nearest_frame,gb,test,2,0.5298,0.5047,0.4537,0.5066,0.5402,0.84,0.4768,0.1694,"[[1008, 192], [858, 175]]",False,0.5374
image,A_nearest_frame,mlp,test,2,0.5374,0.5,0.3496,0.5046,0.5374,1.0,0.0,0.0,"[[1200, 0], [1033, 0]]",False,0.5374
image,B_temporal_mean,lr,val,2,0.4807,0.5083,0.4684,0.4971,0.578,0.2913,0.4421,0.7253,"[[400, 973], [292, 771]]",False,0.5636
image,B_temporal_mean,rf,val,2,0.5546,0.5,0.4116,0.5182,0.5636,0.9294,0.436,0.0706,"[[1276, 97], [988, 75]]",False,0.5636
image,B_temporal_mean,gb,val,2,0.5599,0.4993,0.3793,0.5131,0.5633,0.9752,0.4237,0.0235,"[[1339, 34], [1038, 25]]",False,0.5636
image,B_temporal_mean,mlp,val,2,0.5636,0.5,0.3604,0.5179,0.5636,1.0,0.0,0.0,"[[1373, 0], [1063, 0]]",False,0.5636
image,B_temporal_mean,lr,test,2,0.4742,0.5058,0.3835,0.5268,0.5739,0.0842,0.4657,0.9274,"[[101, 1099], [75, 958]]",False,0.5374
image,B_temporal_mean,rf,test,2,0.5271,0.4941,0.3871,0.4719,0.5343,0.935,0.4135,0.0532,"[[1122, 78], [978, 55]]",False,0.5374
image,B_temporal_mean,gb,test,2,0.5325,0.4968,0.3649,0.477,0.5358,0.9733,0.3962,0.0203,"[[1168, 32], [1012, 21]]",False,0.5374
image,B_temporal_mean,mlp,test,2,0.5374,0.5,0.3496,0.4732,0.5374,1.0,0.0,0.0,"[[1200, 0], [1033, 0]]",False,0.5374
image,C_full_stats,lr,val,12,0.5177,0.5318,0.5167,0.5351,0.6036,0.4202,0.4622,0.6435,"[[577, 796], [379, 684]]",False,0.5636
image,C_full_stats,rf,val,12,0.562,0.5007,0.3764,0.5338,0.564,0.9825,0.4545,0.0188,"[[1349, 24], [1043, 20]]",False,0.5636
image,C_full_stats,gb,val,12,0.5616,0.5079,0.4254,0.5318,0.5678,0.9301,0.4866,0.0856,"[[1277, 96], [972, 91]]",False,0.5636
image,C_full_stats,mlp,val,12,0.5521,0.5107,0.4712,0.5277,0.5699,0.8369,0.4667,0.1844,"[[1149, 224], [867, 196]]",False,0.5636
image,C_full_stats,lr,test,12,0.4993,0.5031,0.4992,0.5015,0.5408,0.4525,0.4654,0.5537,"[[543, 657], [461, 572]]",False,0.5374
image,C_full_stats,rf,test,12,0.5374,0.5003,0.3531,0.4843,0.5375,0.9967,0.5,0.0039,"[[1196, 4], [1029, 4]]",False,0.5374
image,C_full_stats,gb,test,12,0.5293,0.4979,0.404,0.4889,0.5362,0.9192,0.4489,0.0765,"[[1103, 97], [954, 79]]",False,0.5374
image,C_full_stats,mlp,test,12,0.5204,0.4979,0.4583,0.4924,0.5361,0.7992,0.4572,0.1965,"[[959, 241], [830, 203]]",False,0.5374
