record_id,split,crop_label,real_frame_count,total_frames,zero_fill_fraction,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_last_frame_mean,evi_mean,evi_std,evi_min,evi_max,evi_last_frame_mean
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.9892967_75.1114626,train,coconut,3,8,0.625,0.621612,0.104094,0.488372,0.803042,0.655172,0.666796,0.143018,0.0,1.0,0.743163
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.9647662_75.1214065,train,coconut,3,8,0.625,0.631275,0.104542,0.428015,0.814407,0.705585,0.662333,0.129913,0.0,1.0,0.759126
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.9720379_75.1198225,train,coconut,3,8,0.625,0.630905,0.105049,0.428015,0.811472,0.696352,0.666848,0.135687,0.0,1.0,0.761123
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.9849992_75.1127707,train,coconut,3,8,0.625,0.626256,0.104814,0.488372,0.803042,0.666715,0.671503,0.143131,0.0,1.0,0.752528
gov_BANTVALA_AJJIBETTU_2020_Kharif_pepper_12.9690684_75.1116328,train,pepper,3,8,0.625,0.622655,0.100191,0.5,0.811472,0.686054,0.665523,0.134349,0.0,1.0,0.758022
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.9106058_75.0263147,train,coconut,4,8,0.5,0.605889,0.092103,0.444904,0.811517,0.672375,0.671652,0.152166,0.0,1.0,0.751931
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.900746_75.0195534,train,coconut,4,8,0.5,0.606389,0.097215,0.443663,0.839443,0.692059,0.664934,0.154935,0.0,1.0,0.765266
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.9648397_75.0993264,train,coconut,4,8,0.5,0.573409,0.092504,0.465971,0.825717,0.671252,0.617589,0.147974,0.0,1.0,0.749614
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.8972421_75.0155495,train,coconut,4,8,0.5,0.612273,0.096768,0.443663,0.842905,0.706938,0.6694,0.14407,0.0,1.0,0.765807
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.904036_75.0397079,train,coconut,3,8,0.625,0.584713,0.097355,0.415379,0.820875,0.676324,0.630835,0.16048,0.0,1.0,0.731823
gov_BANTVALA_ARALA_2020_Kharif_coconut_12.9455465_75.0161789,train,coconut,4,8,0.5,0.617822,0.09828,0.441588,0.827916,0.712622,0.683859,0.155143,0.0,1.0,0.753505
gov_BANTVALA_AJJIBETTU_2020_Kharif_pepper_12.9728288_75.1161502,train,pepper,3,8,0.625,0.629252,0.104242,0.428015,0.811472,0.692552,0.667147,0.137061,0.0,1.0,0.761374
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.9814509_75.0991732,train,coconut,4,8,0.5,0.577531,0.093184,0.469336,0.797448,0.643894,0.62188,0.146494,0.0,1.0,0.731862
gov_BANTVALA_AMTADI_2020_Kharif_pepper_12.9109075_75.0331607,train,pepper,4,8,0.5,0.609781,0.093024,0.444904,0.811517,0.683064,0.671641,0.151786,0.0,1.0,0.758523
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.9115349_75.0333821,train,coconut,4,8,0.5,0.610623,0.093272,0.444904,0.811517,0.684931,0.672756,0.15129,0.0,1.0,0.761331
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.8982748_75.0268649,train,coconut,4,8,0.5,0.596438,0.095819,0.443663,0.839443,0.698091,0.647483,0.16016,0.0,1.0,0.759325
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.983387_75.1205384,train,coconut,3,8,0.625,0.632991,0.106779,0.437889,0.81128,0.687004,0.673849,0.141141,0.0,1.0,0.76451
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.8982067_75.0146133,train,coconut,4,8,0.5,0.614509,0.096244,0.443663,0.842905,0.704964,0.674592,0.143741,0.0,1.0,0.767196
gov_BANTVALA_AMTADI_2020_Kharif_pepper_12.9203006_75.0310762,train,pepper,4,8,0.5,0.614786,0.094889,0.420822,0.811517,0.689561,0.679001,0.14825,0.0,1.0,0.759215
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.8996809_75.0261535,train,coconut,4,8,0.5,0.597408,0.095355,0.443663,0.839443,0.691712,0.649931,0.161349,0.0,1.0,0.759375
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.9639217_75.0996204,train,coconut,4,8,0.5,0.574681,0.093392,0.465971,0.825717,0.674611,0.617678,0.146716,0.0,1.0,0.752464
gov_BANTVALA_AJJIBETTU_2020_Kharif_pepper_12.9633922_75.0980608,train,pepper,4,8,0.5,0.577511,0.093824,0.465971,0.825717,0.676152,0.623609,0.147567,0.0,1.0,0.754715
gov_BANTVALA_ARALA_2020_Kharif_pepper_12.9470789_75.0238653,train,pepper,4,8,0.5,0.636288,0.097185,0.477043,0.827916,0.722775,0.690178,0.1369,0.0,1.0,0.759564
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.9129282_75.0311977,train,coconut,3,8,0.625,0.589667,0.094731,0.444904,0.811517,0.680356,0.650491,0.161055,0.0,1.0,0.759793
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.8983422_75.0260785,train,coconut,4,8,0.5,0.596452,0.095728,0.443663,0.839443,0.697349,0.647717,0.16035,0.0,1.0,0.759499
gov_BANTVALA_ARALA_2020_Kharif_coconut_12.9460744_75.0084518,train,coconut,4,8,0.5,0.599236,0.101232,0.428789,0.826676,0.723142,0.667256,0.17071,0.0,1.0,0.756916
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.8994707_75.026521,train,coconut,4,8,0.5,0.596967,0.095341,0.443663,0.839443,0.692701,0.649014,0.161228,0.0,1.0,0.75904
gov_BANTVALA_ARALA_2020_Kharif_coconut_12.9433215_75.0262297,train,coconut,3,8,0.625,0.631135,0.105585,0.495385,0.827916,0.714926,0.67365,0.141673,0.0,1.0,0.760213
gov_BANTVALA_ARALA_2020_Kharif_coconut_12.9495706_75.0091543,train,coconut,4,8,0.5,0.600969,0.101022,0.428789,0.826676,0.719874,0.668095,0.167052,0.0,1.0,0.750658
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.8965347_75.027254,train,coconut,4,8,0.5,0.596533,0.096833,0.443663,0.839443,0.705267,0.645858,0.158371,0.0,1.0,0.758679
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.9171165_75.0324702,train,coconut,4,8,0.5,0.610548,0.093483,0.420822,0.811517,0.680499,0.675496,0.150163,0.0,1.0,0.759459
gov_BANTVALA_AMTADI_2020_Kharif_pepper_12.8945395_75.0178613,train,pepper,4,8,0.5,0.604635,0.097155,0.443663,0.842905,0.708851,0.655584,0.146051,0.0,1.0,0.757903
gov_BANTVALA_ARALA_2020_Kharif_coconut_12.9417505_75.0206226,train,coconut,4,8,0.5,0.618471,0.097104,0.468282,0.827916,0.704699,0.685748,0.150147,0.0,1.0,0.753624
gov_BANTVALA_AMTADI_2020_Kharif_pepper_12.9026433_75.013905,train,pepper,4,8,0.5,0.614821,0.095687,0.443663,0.842905,0.691375,0.680042,0.150296,0.0,1.0,0.763032
