pool,modality,model,val_balanced_accuracy,val_accuracy,val_roc_auc,test_balanced_accuracy,test_accuracy,test_roc_auc
R5.7_full_AB,tabular,lr,0.5133,0.52,0.5111,0.5231,0.5446,0.5367
R5.7_full_AB,tabular,rf,0.5,0.7114,0.5743,0.5,0.612,0.5188
R5.7_full_AB,tabular,gb,0.5039,0.709,0.5747,0.5044,0.5539,0.5081
R5.7_full_AB,tabular,mlp,0.5,0.7114,0.4492,0.5,0.612,0.4932
R5.7_cleanA,tabular,lr,0.531,0.514,0.53,0.5234,0.584,0.5303
R5.7_cleanA,tabular,rf,0.5,0.8813,0.6278,0.5,0.7553,0.5166
R5.7_cleanA,tabular,gb,0.4973,0.8689,0.6038,0.5082,0.6684,0.5444
R5.7_cleanA,tabular,mlp,0.5,0.8813,0.5049,0.5,0.7553,0.508
R5.7_dedup_cluster50m,tabular,lr,0.5122,0.5327,0.5078,0.5015,0.5563,0.5085
R5.7_dedup_cluster50m,tabular,rf,0.4999,0.6509,0.5562,0.5,0.5932,0.5202
R5.7_dedup_cluster50m,tabular,gb,0.503,0.6369,0.5538,0.4953,0.5121,0.4964
R5.7_dedup_cluster50m,tabular,mlp,0.5,0.651,0.5073,0.5,0.5932,0.5051
R5.7_image_only,tabular,lr,0.5304,0.4955,0.5433,0.5157,0.4832,0.5278
R5.7_image_only,tabular,rf,0.4972,0.5543,0.522,0.5025,0.5416,0.4974
R5.7_image_only,tabular,gb,0.5016,0.551,0.5335,0.495,0.5297,0.4912
R5.7_image_only,tabular,mlp,0.5,0.5591,0.5445,0.5,0.5396,0.5176
R5.7_fusion,fusion,lr,0.504,0.4978,0.5134,0.5024,0.5144,0.495
R5.7_fusion,fusion,rf,0.5009,0.5591,0.5396,0.5,0.5396,0.5
R5.7_fusion,fusion,gb,0.5163,0.5562,0.5292,0.5189,0.5109,0.5283
R5.7_fusion,fusion,mlp,0.5,0.5591,0.4996,0.5,0.5396,0.4863
