pepper_field_id,pepper_lat,pepper_lon,nearest_coconut_field_id,nearest_coconut_lat,nearest_coconut_lon,distance_m,distance_band
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=445251135,12.9690684,75.1116328,Bantwal|BANTVALA|AJJIBETTU|SURVEYID=445251146,12.9690669,75.1115825,5.452983821168119,5-10
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=445251148,12.9662448,75.1195792,Bantwal|BANTVALA|AJJIBETTU|SURVEYID=445102387,12.9646867,75.1213044,254.88064327584135,>100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=40004007,12.9728288,75.1161502,Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42157710,12.9738197,75.1160606,110.60996814393803,>100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=40004095,12.9734863,75.1161337,Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42157710,12.9738197,75.1160606,37.909128402681006,25-50
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=40004195,12.9736382,75.1152433,Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42157710,12.9738197,75.1160606,90.83025746364261,50-100
Bantwal|BANTVALA|AMTADI|SURVEYID=40005379,12.9109075,75.0331607,Bantwal|BANTVALA|AMTADI|SURVEYID=40005379,12.9109122,75.0331637,0.6155087499217669,0-5
Bantwal|BANTVALA|AMTADI|SURVEYID=40016952,12.9203006,75.0310762,Bantwal|BANTVALA|AMTADI|SURVEYID=40016952,12.9202883,75.0310767,1.368770710740588,0-5
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42124794,12.9633922,75.0980608,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,68.07040415204807,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42130202,12.9634114,75.0980241,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,65.23385191884334,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42130210,12.963377,75.0980608,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,67.47363818958908,50-100
Bantwal|BANTVALA|ARALA|SURVEYID=444061967,12.9470789,75.0238653,Bantwal|BANTVALA|ARALA|SURVEYID=444061967,12.9470773,75.0238663,0.20831772713296154,0-5
Bantwal|BANTVALA|ARALA|SURVEYID=444061971,12.9470972,75.0238257,Bantwal|BANTVALA|ARALA|SURVEYID=444061980,12.9470878,75.0237915,3.8507580195928206,0-5
Bantwal|BANTVALA|ARALA|SURVEYID=444061976,12.9470994,75.0238286,Bantwal|BANTVALA|ARALA|SURVEYID=444061980,12.9470878,75.0237915,4.222297958290325,0-5
Bantwal|BANTVALA|ARALA|SURVEYID=444062061,12.9453228,75.0273846,Bantwal|BANTVALA|ARALA|SURVEYID=444062061,12.9453501,75.027421,4.977455722211817,0-5
Bantwal|BANTVALA|AMTADI|SURVEYID=442956832,12.8945395,75.0178613,Bantwal|BANTVALA|AMTADI|SURVEYID=442956832,12.894553,75.0178577,1.5510181795595752,0-5
Bantwal|BANTVALA|AMTADI|SURVEYID=445065852,12.9026433,75.013905,Bantwal|BANTVALA|AMTADI|SURVEYID=445065852,12.9026303,75.0138935,1.9087214994801616,0-5
Bantwal|BANTVALA|AMTADI|SURVEYID=40159521,12.9187861,75.0292129,Bantwal|BANTVALA|AMTADI|SURVEYID=40159521,12.9188441,75.0291656,8.238532679700688,5-10
Bantwal|BANTVALA|AMTADI|SURVEYID=445065867,12.9039712,75.0142614,Bantwal|BANTVALA|AMTADI|SURVEYID=445065867,12.9039183,75.0144017,16.304696384384307,10-25
Bantwal|BANTVALA|AMTADI|SURVEYID=40251048,12.9083851,75.0251689,Bantwal|BANTVALA|AMTADI|SURVEYID=40251485,12.9083333,75.025425,28.34868308309213,25-50
Bantwal|BANTVALA|AMTADI|SURVEYID=40251485,12.9082947,75.0254879,Bantwal|BANTVALA|AMTADI|SURVEYID=40251485,12.9083333,75.025425,8.056016916707565,5-10
Bantwal|BANTVALA|AMTADI|SURVEYID=40444880,12.9124493,75.0338309,Bantwal|BANTVALA|AMTADI|SURVEYID=40444880,12.9124402,75.0341071,29.952510361189518,25-50
Bantwal|BANTVALA|AMTADI|SURVEYID=445070190,12.9171841,75.0235638,Bantwal|BANTVALA|AMTADI|SURVEYID=442182499,12.918003,75.023559,91.05901149628224,50-100
Bantwal|BANTVALA|AMTADI|SURVEYID=40742092,12.9199236,75.0308474,Bantwal|BANTVALA|AMTADI|SURVEYID=40742092,12.9199295,75.0308312,1.8743192963791386,0-5
Bantwal|BANTVALA|AMTADI|SURVEYID=40749001,12.9201929,75.0300039,Bantwal|BANTVALA|AMTADI|SURVEYID=40749001,12.9201929,75.0300039,0.0,0-5
Bantwal|BANTVALA|AMTADI|SURVEYID=443064262,12.9189779,75.0279321,Bantwal|BANTVALA|AMTADI|SURVEYID=443064360,12.9189263,75.027984,8.034963229942184,5-10
Bantwal|BANTVALA|AMTADI|SURVEYID=443225945,12.89598,75.0181303,Bantwal|BANTVALA|AMTADI|SURVEYID=443225945,12.8959767,75.0181555,2.755971616749687,0-5
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42130223,12.9634878,75.0982482,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,90.88812259869881,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42130230,12.9634718,75.0982594,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,91.33727266119088,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42130243,12.9634562,75.0982834,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,93.15215692621699,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42130262,12.9634963,75.098184,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,84.92454619684634,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42130270,12.9635776,75.098172,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,88.05224194468481,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42130283,12.9635772,75.0982312,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,93.58608231143783,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42130300,12.9636143,75.0982184,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,94.4686357340361,50-100
Bantwal|BANTVALA|ARALA|SURVEYID=445051067,12.9390325,75.0339172,Bantwal|BANTVALA|ARALA|SURVEYID=445243819,12.9378451,75.0334834,140.1526831282544,>100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42130307,12.9636656,75.0981605,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,92.47021483940964,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42130319,12.9636518,75.0981164,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,87.73474703174485,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42136130,12.9770637,75.1102638,Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42136130,12.9770634,75.1102639,0.03507415238494905,0-5
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42150810,12.9636811,75.0981966,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,96.6424484480416,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42150815,12.9637135,75.0982206,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,100.8751551626239,>100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42150824,12.9637133,75.0981559,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,95.3437922363518,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42150834,12.9637302,75.0981849,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,98.96662311970334,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42150848,12.9636839,75.0982045,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,97.51803819413456,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42150861,12.9637064,75.0982272,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,100.9794967069365,>100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42150874,12.963743,75.0981771,Bantwal|BANTVALA|PILIMOGRU|SURVEYID=444002199,12.9631694,75.0974757,99.22062011494978,50-100
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42157581,12.9748221,75.1163958,Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42157581,12.9748154,75.1163871,1.2015455940741413,0-5
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42157599,12.9739917,75.1160029,Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42157662,12.9739518,75.1160683,8.360781911267027,5-10
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42157710,12.9739233,75.1160829,Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42157662,12.9739518,75.1160683,3.5419833285003177,0-5
Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42468923,12.9609362,75.1116057,Bantwal|BANTVALA|AJJIBETTU|SURVEYID=42468923,12.9609717,75.1115835,4.622684654404272,0-5
Bantwal|BANTVALA|ARALA|SURVEYID=445051148,12.9426358,75.0238822,Bantwal|BANTVALA|ARALA|SURVEYID=445051152,12.9426646,75.0238777,3.239332001878161,0-5
