Season,Year,Yield_Proxy_NPP,District
Annual + Kharif/Rabi composites,2022,0.7077,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,1.3919,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,0.7130000000000001,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,0.6654,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,1.1451,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,0.636,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,1.2495,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,0.8381000000000001,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,0.9102,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,1.2557,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,1.3085,Chikkamagaluru
Annual + Kharif/Rabi composites,2022,1.2061,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,0.7525000000000001,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,0.6474000000000001,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,1.3278,
Annual + Kharif/Rabi composites,2022,0.6646000000000001,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,1.5438,Chikkamagaluru
Annual + Kharif/Rabi composites,2022,1.4778,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,0.5577,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,0.6283000000000001,
Annual + Kharif/Rabi composites,2022,1.3094,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,1.482,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,1.3414,Chikkamagaluru
Annual + Kharif/Rabi composites,2022,0.7821,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,1.1811,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,1.1021,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,0.8992,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,1.3329,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,0.6111,Dakshina Kannada
Annual + Kharif/Rabi composites,2022,0.7567,Dakshina Kannada
